,name,address,sido,gugun
489,서울온천점,"서울특별시 노원구 노원로16길 15, 상가동 1층 104호 (하계동,중계9단지상가)",서울특별시,노원구
490,서울지사,서울특별시 금천구 시흥동 985-14,서울특별시,금천구
491,서정점,경기도 평택시 송탄로 183,경기도,평택시
492,서천점,충청남도 서천군 서천읍 서천로 117,충청남도,서천군
493,서천점(용인),"경기도 용인시기흥구 예현로35번길  6 서천동,1층",경기도,용인시기흥구
494,서초동점,서울특별시 서초구 효령로 424,서울특별시,서초구
495,서현점,경기도 성남시분당구 불정로376번길 31,경기도,성남시분당구
496,석관동점,"서울특별시 성북구 돌곶이로22길 50, 1층(석관동)",서울특별시,성북구
497,석림점,충청남도 서산시 석림3로 25,충청남도,서산시
498,석문점,충청남도 당진시 석문면 통정3안길 8-15,충청남도,당진시
499,석사점,"강원도 춘천시 공지로252번길 4, 1층(효자동)",강원도,춘천시
500,석적점,경상북도 칠곡군 석적읍 북중리 11길 28,경상북도,칠곡군
501,석촌점,"서울특별시 송파구 송파대로37길 26, 101호 (석촌동)",서울특별시,송파구
502,석포점,경기도 화성시 장안면 버들로 1199,경기도,화성시
503,선부3점,"경기도 안산시단원구 달미로 85-1, 104호",경기도,안산시단원구
504,선수촌점,서울특별시 송파구 올림픽로4길 17,서울특별시,송파구
505,선유점,경기도 파주시 문산읍 독서울1길 39 휴먼시아상가 106,경기도,파주시
506,선화점,대전광역시 중구 대전천서로 503,대전광역시,중구
507,설봉점,경기도 이천시 향교로 106(창전동),경기도,이천시
508,설성점,경기도 이천시 설성면 설장로 13,경기도,이천시
509,설악동점,강원도 속초시 청봉로 77,강원도,속초시
510,설악면점,경기도 가평군 설악면 신천중앙로 131,경기도,가평군
511,성거점,충청남도 천안시서북구 성거읍 성거길 90,충청남도,천안시서북구
